Aktualisiert;E-Mail Kontakt;Geographische Abdeckung;Geographische Granularität;Kategorie;Kommentare;Lizenz;Veröffentlichende Stelle;Veröffentlicht;Website;Zeitliche Granularität;Zeitperiode;_collection_date;_title;_type;_url;tags;
07.10.2014;onlineredaktion AT senfin.berlin.de;Berlin;Berlin;['Öffentliche Verwaltung, Haushalt und Steuern'];0;Creative Commons Weitergabe unter gleichen Bedingungen;Senatsverwaltung für Finanzen;27.02.2013;http://www.berlin.de/sen/finanzen/steuern/finanzaemter/;Keine;21.10.2014;2014-10-24 12:45:20;Finanzämter in Berlin;dataset;http://daten.berlin.de/datensaetze/finanz%C3%A4mter-berlin;[];
02.10.2014;web-pressestelle AT ba-ts.berlin.de;Tempelhof-Schöneberg;Hausnummer;['Kunst und Kultur'];0;Creative Commons Namensnennung;Berlin.de;11.05.2011;http://www.berlin.de/ba-tempelhof-schoeneberg/derbezirk/simple-search-baukasten/;Keine;02.10.2014;2014-10-24 12:45:20;Stolperstein-Suche;dataset;http://daten.berlin.de/datensaetze/stolperstein-suche;[];
29.09.2014;api AT VBB.de;;;['Verkehr'];0;Creative Commons Namensnennung;VBB - Verkehrsverbund Berlin-Brandenburg GmbH;29.09.2014;http://www.vbb.de/labs;;vom 25.09.2014 bis 13.12.2014;2014-10-24 12:45:20;VBB-Fahrplandaten Oktober bis Dezember 2014;dataset;http://daten.berlin.de/datensaetze/vbb-fahrplandaten-oktober-bis-dezember-2014;[];
15.09.2014;webmaster AT lageso.berlin.de;Berlin;Berlin;['Gesundheit'];4;Creative Commons Weitergabe unter gleichen Bedingungen;Landesamt für Gesundheit und Soziales;04.07.2011;http://www.berlin.de/badegewaesser/baden-details/;Keine;15.09.2014;2014-10-24 12:45:20;Liste der Badestellen (Badegewässerqualität);dataset;http://daten.berlin.de/datensaetze/liste-der-badestellen-badegew%C3%A4sserqualit%C3%A4t;[];
11.09.2014;thomas.griewald AT senfin.berlin.de;Berlin;Berlin;['Öffentliche Verwaltung, Haushalt und Steuern'];0;Creative Commons Weitergabe unter gleichen Bedingungen;Senatsverwaltung für Finanzen;05.02.2013;http://www.berlin.de/sen/finanzen/service/zuwendungsdatenbank/;Keine;vom 30.06.2013 bis 11.09.2014;2014-10-24 12:45:20;Zuwendungsdatenbank;dataset;http://daten.berlin.de/datensaetze/zuwendungsdatenbank;[];
09.09.2014;onlineredaktion AT senfin.berlin.de;;;['Öffentliche Verwaltung, Haushalt und Steuern'];0;Creative Commons Namensnennung;Senatsverwaltung für Finanzen;09.09.2014;;;;2014-10-24 12:45:20;KLR Produkt - Vergleichsbericht 2013;dataset;http://daten.berlin.de/datensaetze/klr-produkt-vergleichsbericht-2013;[];
04.09.2014;Angelika.Herda AT ba-mh.verwalt-berlin.de;Berlin;Berlin;['Jugend'];0;Creative Commons Namensnennung;Bezirksamt Marzahn-Hellersdorf von Berlin Abteilung Jugend und Familie, Weiterbildung und Kultur;06.12.2010;http://www.berlin.de/ba-marzahn-hellersdorf/verwaltung/jugend/jugend-termine/;Keine;04.09.2014;2014-10-24 12:45:20;Einrichtungen in Marzahn-Hellersdorf für Kinder, Jugendliche und deren Familien;dataset;http://daten.berlin.de/datensaetze/einrichtungen-marzahn-hellersdorf-f%C3%BCr-kinder-jugendliche-und-deren-familien;[];
28.08.2014;api AT VBB.de;;;['Verkehr'];0;Creative Commons Namensnennung;VBB - Verkehrsverbund Berlin-Brandenburg GmbH;28.08.2014;http:/ / www.vbb.de/ labs;;vom 21.08.2014 bis 17.10.2014;2014-10-24 12:45:21;VBB-Fahrplandaten August bis Oktober 2014;dataset;http://daten.berlin.de/datensaetze/vbb-fahrplandaten-august-bis-oktober-2014;[];
25.08.2014;angelika.herda AT ba-mh.verwalt-berlin.de;Berlin;Berlin;['Jugend'];1;Creative Commons Namensnennung;Bezirksamt Marzahn-Hellersdorf von Berlin Abteilung Jugend und Familie, Weiterbildung und Kultur;25.04.2012;http://www.berlin.de/ba-marzahn-hellersdorf/verwaltung/jugend/kita/;Keine;25.08.2014;2014-10-24 12:45:21;Kindertagesstätten in Marzahn-Hellersdorf;dataset;http://daten.berlin.de/datensaetze/kindertagesst%C3%A4tten-marzahn-hellersdorf;[];
25.08.2014;regina.lange AT lichtenberg.berlin.de;Lichtenberg;Berlin;['Geographie und Stadtplanung'];0;Keine Freie Lizenz, siehe Website des Datensatzes;Stadtentwicklungsamt Lichtenberg - Stadtplanung;09.11.2011;http://www.berlin.de/ba-lichtenberg/buergerservice/stadtplanung/;Keine;25.08.2014;2014-10-24 12:45:21;Straßenverzeichnis der Stadtplanung im Bezirk Lichtenberg;dataset;http://daten.berlin.de/datensaetze/stra%C3%9Fenverzeichnis-der-stadtplanung-im-bezirk-lichtenberg;[];
25.08.2014;andreas.pruefer AT lichtenberg.berlin.de;Lichtenberg;Bezirk;['Wohnen und Immobilien'];0;Creative Commons Namensnennung;Facility Management Lichtenberg;26.10.2011;http://www.berlin.de/ba-lichtenberg/wirtschaft/mietraum/;Keine;25.08.2014;2014-10-24 12:45:21;Mietbare Veranstaltungsräume im Bezirk Lichtenberg;dataset;http://daten.berlin.de/datensaetze/mietbare-veranstaltungsr%C3%A4ume-im-bezirk-lichtenberg;[];
25.08.2014;Andreas.Hallfahrt AT ba-mh.Verwalt-Berlin.de;Marzahn-Hellersdorf;Bezirk;['Sport und Erholung'];0;Creative Commons Namensnennung;Berlin.de;02.08.2011;http://www.berlin.de/ba-marzahn-hellersdorf/verwaltung/bildung/sport/sportvereine/;Keine;25.08.2014;2014-10-24 12:45:21;Sportvereine und Sportangebote in Marzahn-Hellersdorf;dataset;http://daten.berlin.de/datensaetze/sportvereine-und-sportangebote-marzahn-hellersdorf;[];
25.08.2014;christine.engelhardt AT lichtenberg.berlin.de;Lichtenberg;Bezirk;['Öffentliche Sicherheit'];0;Keine Freie Lizenz, siehe Website des Datensatzes;Stadtentwicklungsamt Lichtenberg - Bau- und Wohnungsaufsicht;11.07.2011;http://www.berlin.de/ba-lichtenberg/buergerservice/baufsicht/;Keine;25.08.2014;2014-10-24 12:45:21;Straßenverzeichnis der Bau- und Wohnungsaufsicht im Bezirk Lichtenberg;dataset;http://daten.berlin.de/datensaetze/stra%C3%9Fenverzeichnis-der-bau-und-wohnungsaufsicht-im-bezirk-lichtenberg;[];
25.08.2014;michael.richert AT charlottenburg-wilmersdorf.de;Charlottenburg-wilmersdorf;Hausnummer;['Umwelt und Klima'];3;Creative Commons Namensnennung;Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umwelt- und Naturschutzamt;15.06.2011;http://www.berlin.de/ba-charlottenburg-wilmersdorf/org/umwelt/umwelt/altglascontainer/;Jahr;vom 01.01.2014 bis 31.12.2016;2014-10-24 12:45:21;Standorte von Altglascontainern auf öffentlichem Straßenland in Charlottenburg-Wilmersdorf;dataset;http://daten.berlin.de/datensaetze/standorte-von-altglascontainern-auf-%C3%B6ffentlichem-stra%C3%9Fenland-charlottenburg-wilmersdorf;[];
25.08.2014;annette.schumacher AT lichtenberg.berlin.de;Lichtenberg;Bezirk;['Kunst und Kultur'];2;Creative Commons Namensnennung;Amt für Soziales Lichtenberg;09.09.2010;http://www.berlin.de/ba-lichtenberg/buergerservice/familie/sbst/;Quartal;25.08.2014;2014-10-24 12:45:22;Veranstaltungsangebote der Seniorenbegegnungsstätten;dataset;http://daten.berlin.de/datensaetze/veranstaltungsangebote-der-seniorenbegegnungsst%C3%A4tten;[];
25.08.2014;kerstin.nieber AT lichtenberg.berlin.de;Lichtenberg;Bezirk;['Bildung'];0;Creative Commons Namensnennung;Jugendamt Lichtenberg;07.09.2010;http://www.berlin.de/ba-lichtenberg/freizeit/sport/ja-jsa/;Keine;25.08.2014;2014-10-24 12:45:22;Angebote der schulbezogenen Jugendarbeit und Jugendsozialarbeit;dataset;http://daten.berlin.de/datensaetze/angebote-der-schulbezogenen-jugendarbeit-und-jugendsozialarbeit;[];
25.08.2014;michael.richert AT charlottenburg-wilmersdorf.de;Charlottenburg-wilmersdorf;Hausnummer;['Umwelt und Klima'];1;Creative Commons Namensnennung;Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umweltamt;19.07.2010;http://www.berlin.de/ba-charlottenburg-wilmersdorf/org/umwelt/umwelt/reparaturfuehrer/;Keine;25.08.2014;2014-10-24 12:45:22;Reparaturführer Charlottenburg-Wilmersdorf;dataset;http://daten.berlin.de/datensaetze/reparaturf%C3%BChrer-charlottenburg-wilmersdorf;[];
20.08.2014;mul AT senwtf.berlin.de;Berlin;Berlin;['Wirtschaft'];2;Creative Commons Namensnennung;Senatsverwaltung für Wirtschaft, Technologie und Forschung;14.03.2012;http://www.berlin.de/sen/wirtschaft/service/maerkte/strassenfeste/;Jahr;20.08.2014;2014-10-24 12:45:22;Berliner und Brandenburger Volks- und Straßenfeste 2013;dataset;http://daten.berlin.de/datensaetze/berliner-und-brandenburger-volks-und-stra%C3%9Fenfeste-2013;[];
07.07.2014;info AT statistik-bbb.de;;;['Wahlen'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;07.07.2014;www.statistik-berlin-brandenburg.de;;25.05.2014;2014-10-24 12:45:22;Europawahl 2014 in Berlin nach Wahlbezirken (Endgültiges Ergebnis);dataset;http://daten.berlin.de/datensaetze/europawahl-2014-berlin-nach-wahlbezirken-endg%C3%BCltiges-ergebnis;[];
24.06.2014;api AT VBB.de;;;['Verkehr'];0;Creative Commons Namensnennung;VBB - Verkehrsverbund Berlin-Brandenburg GmbH;24.06.2014;http://www.vbb.de/labs;;vom 19.06.2014 bis 17.10.2014;2014-10-24 12:45:22;VBB-Fahrplandaten Juni bis Oktober 2014;dataset;http://daten.berlin.de/datensaetze/vbb-fahrplandaten-juni-bis-oktober-2014;[];
10.06.2014;muf AT senwtf.berlin.de;Berlin;Berlin;['Wirtschaft'];0;Creative Commons Weitergabe unter gleichen Bedingungen;Senatsverwaltung für Wirtschaft, Technologie und Forschung;27.03.2012;http://www.berlin.de/sen/wirtschaft/service/maerkte/wochen-antik/;Keine;10.06.2014;2014-10-24 12:45:22;Berliner Wochen- und Trödelmärkte 2013;dataset;http://daten.berlin.de/datensaetze/berliner-wochen-und-tr%C3%B6delm%C3%A4rkte-2013;[];
02.06.2014;sabrina.kirmse AT ba-tk.berlin.de;Treptow-Köpenick;Bezirk;['Protokolle und Beschlüsse'];0;Creative Commons Namensnennung;Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters;19.06.2012;http://www.berlin.de/ba-treptow-koepenick/politik/ba-beschluesse/simplesearch/;Keine;02.06.2014;2014-10-24 12:45:23;BA-Beschlüsse;dataset;http://daten.berlin.de/datensaetze/ba-beschl%C3%BCsse;[];
15.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122013;[];
15.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;30.06.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 30.06.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062013;[];
15.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Ausländische Einwohnerinnen und Einwohner in Berlin in LOR-Planungsräumen am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/ausl%C3%A4ndische-einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-am-31122013;[];
15.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach-5;[];
15.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner in Berlin in LOR-Planungsräumen am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-am-31122013;[];
15.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-5;[];
15.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;15.05.2014;www.statistik-berlin-brandenburg.de;;31.12.2013;2014-10-24 12:45:23;Einwohnerinnen und Einwohner nach Wohnlagen in den LOR-Planungsräumen am 31.12.2013;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsr%C3%A4umen-am-31122013;[];
14.05.2014;info AT statistik-bbb.de;;;['Demographie', 'Wahlen'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;14.05.2014;www.statistik-berlin-brandenburg.de;;vom 25.05.2014 bis 14.05.2014;2014-10-24 12:45:23;Geometrien der Europawahl in Berlin 2014;dataset;http://daten.berlin.de/datensaetze/geometrien-der-europawahl-berlin-2014;[];
13.05.2014;kast AT openstreetmap.de;;;['Geographie und Stadtplanung'];0;Open Data Commons Open Database License;Openstreetmap.org;01.01.2004;http://download.geofabrik.de/europe/germany/berlin.html;;;2014-10-24 12:45:23;OpenStreetMap Daten für Berlin;dataset;http://daten.berlin.de/datensaetze/openstreetmap-daten-f%C3%BCr-berlin;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2010;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2010;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach-1;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2009;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2009;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-2;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2007;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2007;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach-4;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2012;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2012;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach-0;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2010;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2010;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-1;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2008;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2008;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach-3;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2007;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2007;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-4;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2011;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-0;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2008;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen am 31.12.2008;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-am-3;[];
13.05.2014;info AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;16.09.2013;www.statistik-berlin-brandenburg.de;;31.12.2011;2014-10-24 12:45:24;Einwohnerinnen und Einwohner mit Migrationshintergrund in Berlin in LOR-Planungsräumen nach Herkunftsgebieten am 31.12.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsr%C3%A4umen-nach;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;31.12.2011;2014-10-24 12:45:24;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 31.12.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122011;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;30.06.2012;2014-10-24 12:45:25;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 30.06.2012;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062012;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;31.12.2012;2014-10-24 12:45:25;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 31.12.2012;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122012;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;30.06.2011;2014-10-24 12:45:25;Einwohnerinnen und Einwohner in den Ortsteilen Berlins am 30.06.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062011;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;31.12.2007;2014-10-24 12:45:25;Einwohnerinnen und Einwohner in Berlin in LOR-Planungsräumen nach Wohndauer am 31.12.2007;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-nach-wohndauer-am-31122007;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;31.12.2011;2014-10-24 12:45:25;Einwohnerinnen und Einwohner nach Wohnlagen in den LOR-Planungsräumen am 31.12.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsr%C3%A4umen-am-31122011;[];
13.05.2014;einwohner AT statistik-bbb.de;;;['Demographie'];0;Creative Commons Namensnennung;Amt für Statistik Berlin-Brandenburg;19.06.2013;www.statistik-berlin-brandenburg.de;;31.12.2011;2014-10-24 12:45:25;Einwohnerinnen und Einwohner in Berlin in LOR-Planungsräumen nach Wohndauer am 31.12.2011;dataset;http://daten.berlin.de/datensaetze/einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-nach-wohndauer-am-31122011;[];
